id	al_len	cons_fr	gap_fr	fpr30	fpr50	fpr70	tpr30	tpr50	tpr70	tfpr30	tfpr50	tfpr70	pq	tr_len	ols	ols_n	fm	bme	topo	max_dist	mean_dist	fastme	rfd	cd	category
25_PF00004_10	140	0.8000	0.0429	0.0000	0.0013	0.0064	0.0040	0.1274	0.2019	0.0102	0.1733	0.3350	252665	0.1871	3.5141	1.3834e+03	3.5013	0.007	10325	0.1134	0.0504	1585.0	0.7273	2.5910	bad
25_PF00004_11	131	0.7099	0.0076	0.0062	0.0477	0.0901	0.0483	0.1206	0.2124	0.0374	0.0816	0.1451	309779	0.3061	12.1350	1.7530e+03	12.0801	0.012	10512	0.1864	0.0832	1514.0	0.6818	2.9120	bad
25_PF00004_12	162	0.0309	0.3519	0.0186	0.0339	0.0551	0.0369	0.0692	0.1174	0.0475	0.0779	0.1167	3240746	0.3060	10.5496	5.4242e+00	2.9159	0.012	10951	2.7064	1.3946	1880.0	0.5909	1.9545	bad
25_PF00004_13	136	0.7794	0.0294	0.0096	0.0358	0.0647	0.0517	0.0923	0.1899	0.0490	0.0968	0.1681	657615	0.2245	7.4860	8.5814e+02	7.4401	0.009	11510	0.1760	0.0934	1642.0	0.5000	1.9967	bad
25_PF00004_14	144	0.3403	0.1528	0.0150	0.0295	0.0496	0.0313	0.0605	0.1069	0.0435	0.0757	0.1165	1356696	0.2458	7.7307	9.2881e+01	7.4314	0.010	10889	0.6453	0.2885	1667.0	0.5909	2.4860	bad
25_PF00004_15	134	0.7761	0.0448	0.0019	0.0165	0.1068	0.0612	0.1735	0.3341	0.0501	0.1001	0.1923	197848	0.2882	18.0288	6.7190e+03	18.0029	0.012	9752	0.1736	0.0518	1652.0	0.5909	2.1055	bad
25_PF00004_16	134	0.7537	0.0000	0.0000	0.0011	0.0072	0.0016	0.0523	0.1175	0.0052	0.1112	0.3917	750280	0.1668	1.7443	1.9867e+02	1.7169	0.007	10286	0.1955	0.0937	1392.0	0.7727	4.3650	bad
25_PF00004_17	159	0.2138	0.1321	0.0152	0.0278	0.0451	0.0340	0.0666	0.1201	0.0475	0.0874	0.1495	1837645	0.2799	4.2087	1.7387e+01	3.5022	0.011	10981	0.9639	0.4920	1944.0	0.1818	0.9933	good
25_PF00004_18	137	0.3942	0.1460	0.0133	0.0251	0.0405	0.0442	0.0833	0.1380	0.0657	0.1226	0.1943	1662908	0.2406	4.0436	5.0884e+01	3.8482	0.010	11759	0.5769	0.2819	1863.0	0.2273	1.1165	good
25_PF00004_1	129	0.2558	0.1783	0.0187	0.0349	0.0585	0.0553	0.1053	0.1717	0.0634	0.1100	0.1710	1552341	0.2731	4.5084	2.7940e+01	3.9401	0.011	12008	0.6811	0.4017	2083.0	0.2727	1.5384	n
