id	al_len	cons_fr	gap_fr	fpr30	fpr50	fpr70	tpr30	tpr50	tpr70	tfpr30	tfpr50	tfpr70	pq	tr_len	ols	ols_n	fm	bme	topo	max_dist	mean_dist	fastme	rfd	cd	category
30_PF00004_10	140	0.8000	0.0429	0.0000	0.0018	0.0064	0.0016	0.1447	0.2019	0.0067	0.1387	0.2925	445746	0.1857	6.0660	3.1050e+03	6.0501	0.006	22409	0.1219	0.0442	1583.0	0.7407	2.9279	bad
30_PF00004_11	131	0.7176	0.0076	0.0047	0.0455	0.0903	0.0525	0.1291	0.2269	0.0315	0.0748	0.1261	556751	0.3015	26.1466	4.2539e+03	26.0545	0.010	21423	0.1891	0.0784	1582.0	0.7037	3.0839	bad
30_PF00004_12	156	0.0321	0.3077	0.0163	0.0316	0.0524	0.0363	0.0724	0.1234	0.0418	0.0706	0.1051	7816033	0.2644	14.0928	7.1148e+00	3.9734	0.009	23001	3.1679	1.4074	2213.0	0.5926	2.5962	bad
30_PF00004_13	139	0.7266	0.0504	0.0094	0.0354	0.0656	0.0519	0.1063	0.1912	0.0380	0.0846	0.1508	1103034	0.2410	8.8026	1.0400e+03	8.7500	0.008	24536	0.1760	0.0920	2130.0	0.4815	1.6863	bad
30_PF00004_14	144	0.3472	0.1319	0.0152	0.0289	0.0467	0.0337	0.0669	0.1193	0.0396	0.0691	0.1087	3926236	0.2152	5.8745	5.3716e+01	5.3709	0.007	24938	0.6131	0.3307	2143.0	0.5185	2.7990	bad
30_PF00004_15	134	0.7612	0.0000	0.0037	0.0455	0.1048	0.0659	0.1496	0.2561	0.0408	0.0790	0.1272	575361	0.2637	24.1217	6.0011e+03	24.0581	0.009	20703	0.1838	0.0634	2020.0	0.6667	1.9798	bad
30_PF00004_16	134	0.7761	0.0000	0.0000	0.0000	0.0030	0.0000	0.0019	0.0791	0.0000	0.0040	0.1689	1204481	0.1526	1.2549	1.9559e+02	1.2417	0.005	17966	0.1955	0.0801	1358.0	0.7407	3.9552	bad
30_PF00004_17	159	0.2327	0.1258	0.0122	0.0229	0.0379	0.0366	0.0678	0.1173	0.0485	0.0873	0.1441	4985123	0.2315	5.3226	2.0715e+01	4.3204	0.008	24276	0.9961	0.5069	2342.0	0.2963	1.5989	n
30_PF00004_18	135	0.3259	0.2815	0.0149	0.0285	0.0460	0.0423	0.0800	0.1378	0.0483	0.0867	0.1423	3165345	0.2208	9.7418	1.3110e+02	9.4652	0.007	24759	0.5565	0.2726	2430.0	0.2963	1.3561	good
30_PF00004_1	129	0.3178	0.0930	0.0155	0.0294	0.0507	0.0531	0.1038	0.1845	0.0591	0.1064	0.1690	3572676	0.2376	6.2709	4.0131e+01	5.4193	0.008	25303	0.6727	0.3953	2187.0	0.4815	1.7760	bad
30_PF00004_2	137	0.4161	0.2847	0.0206	0.0398	0.0686	0.0479	0.0889	0.1473	0.0389	0.0680	0.1077	1893361	0.2488	9.4395	3.7058e+02	9.2467	0.008	24257	0.2768	0.1596	2285.0	0.4074	1.8125	n
30_PF00004_3	131	0.8702	0.0000	0.0003	0.0019	0.1739	0.0032	0.2019	0.2964	0.0014	0.0769	0.1380	245275	0.2323	42.5777	3.9098e+04	42.5426	0.008	20659	0.0758	0.0330	1538.0	0.6667	2.7245	bad
30_PF00004_4	134	0.8060	0.0000	0.0032	0.0271	0.0696	0.0261	0.0819	0.1733	0.0193	0.0669	0.1326	640082	0.2156	14.0347	3.7718e+03	13.9974	0.007	21868	0.1340	0.0610	1889.0	0.7407	2.7941	bad
30_PF00004_5	134	0.7985	0.0000	0.0035	0.0448	0.0812	0.0656	0.1270	0.2289	0.0280	0.0776	0.1432	632268	0.2096	22.7883	5.2474e+03	22.7278	0.007	23160	0.1561	0.0659	2174.0	0.6296	2.3430	bad
30_PF00004_6	135	0.2074	0.3185	0.0207	0.0379	0.0618	0.0454	0.0823	0.1366	0.0392	0.0653	0.0981	4301972	0.2667	8.0303	3.3638e+01	6.3050	0.009	25112	1.0071	0.4886	2323.0	0.4074	1.8220	n
30_PF00004_7	134	0.6940	0.0000	0.0017	0.0121	0.0456	0.0186	0.0771	0.1411	0.0249	0.0847	0.1418	1223770	0.1908	8.2339	8.7692e+02	8.1926	0.006	24956	0.2450	0.0969	2197.0	0.5556	2.1825	bad
30_PF00004_8	132	0.4773	0.0076	0.0177	0.0351	0.0577	0.0470	0.0929	0.1575	0.0450	0.0842	0.1289	2093669	0.2278	5.8825	9.4725e+01	5.6142	0.008	25803	0.4634	0.2492	2422.0	0.2593	0.9396	good
30_PF00004_9	145	0.4276	0.1517	0.0179	0.0399	0.0670	0.0664	0.1302	0.2323	0.0485	0.0948	0.1650	1008993	0.3210	8.5542	4.5245e+02	8.4441	0.011	23917	0.6002	0.1375	2318.0	0.6667	2.1893	bad
30_PF00005_10	150	0.3133	0.0000	0.0249	0.0443	0.0700	0.0580	0.1058	0.1699	0.0433	0.0740	0.1153	3053576	0.3179	7.9663	4.9764e+01	6.8732	0.011	23396	0.6883	0.4001	2108.0	0.3704	1.3797	n
